INCOME,UPI_TRANSACTIONS,UPI_AVG_AMOUNT,UTILITY_BILLS_PAID,UTILITY_REGULARITY,MOBILE_RECHARGE_FREQ,RENT_PAYMENT,SAVINGS_BALANCE,LOAN_REPAYMENT_HISTORY,DIGITAL_FOOTPRINT,SOCIAL_MEDIA_ACTIVITY,EDUCATION_LEVEL,EMPLOYMENT_STABILITY,FAMILY_SIZE,AGE,GENDER,LOCATION_TYPE,DEVICE_TYPE,APP_USAGE_HOURS,BANK_ACCOUNT_AGE,NUM_FINANCIAL_PRODUCTS,INSURANCE_STATUS,REMITTANCE_FREQUENCY,GOVT_SUBSIDY_RECIPIENT,E_COMMERCE_ACTIVITY,PEER_LENDING_SCORE,ROLE,CREDIT_WORTHY
16350,15,311,3,0.4,6,2801,13987,0.03,9,12,0,0.39,7,37,M,semi-urban,basic,1.9,0.6,0,0,8,1,2,0.12,Migrant Worker,0
3929,33,236,2,0.54,3,6659,14426,0.21,74,73,3,0.29,1,20,F,urban,smartphone,7.2,0.1,0,0,0,1,32,0.03,College Student,0
12683,19,1694,3,0.34,2,819,18428,0.65,8,13,1,0.49,6,59,F,rural,basic,0.4,6.6,0,1,1,1,1,0.37,Rural Farmer,0
2825,2,19,1,0.12,0,0,47,0.0,1,0,0,0.08,4,56,F,semi-urban,basic,0.3,0.0,0,0,0,1,0,0.04,College Student,0
1606,1,4,1,0.0,1,500,312,0.0,0,2,0,0.09,4,25,M,rural,basic,0.1,0.4,0,0,0,1,0,0.04,Migrant Worker,0
13163,18,229,4,0.85,1,2282,13648,0.08,24,8,0,0.58,5,28,F,urban,smartphone,0.8,4.9,0,0,0,1,1,0.06,Domestic Worker,0
8234,9,1735,4,0.44,1,1427,16017,0.58,9,4,1,0.51,5,58,M,semi-urban,basic,1.5,7.9,0,0,1,0,0,0.47,Rural Farmer,0
61051,78,1646,4,0.68,1,17757,21348,0.31,57,31,2,0.37,1,28,F,urban,smartphone,2.7,7.9,3,0,1,0,25,0.49,Freelancer,1
35046,99,761,5,0.8,2,9675,67364,0.66,47,10,2,0.7,3,46,F,urban,smartphone,3.6,14.5,2,0,0,1,20,0.43,Kirana Store Owner,1
14367,98,266,4,0.64,6,2082,28570,0.11,48,24,1,0.26,3,28,F,urban,basic,0.5,0.1,1,0,0,1,6,0.39,Street Vendor,0
11505,28,159,5,0.9,1,3168,11076,0.55,12,8,0,0.83,5,53,M,urban,smartphone,0.8,7.2,0,0,0,1,1,0.08,Domestic Worker,0
937,2,18,1,0.04,0,0,444,0.0,2,0,0,0.1,6,42,M,semi-urban,basic,0.3,0.4,0,0,0,1,0,0.02,Freelancer,0
17210,5,497,4,0.61,1,1053,15839,0.39,10,8,1,0.39,7,31,M,rural,basic,1.5,3.9,1,1,0,1,0,0.21,Rural Farmer,0
72301,61,429,4,0.8,2,12658,74475,0.53,81,50,3,0.65,1,29,M,urban,smartphone,3.7,2.9,1,1,0,0,47,0.71,Freelancer,1
6235,18,370,4,0.74,1,4973,7831,0.1,18,4,1,0.61,5,52,F,urban,basic,0.5,7.8,0,0,1,1,1,0.3,Domestic Worker,0
3559,1,23,1,0.05,0,1000,182,0.0,3,1,0,0.02,3,45,M,rural,basic,0.2,0.1,0,0,0,1,0,0.01,Street Vendor,0
8501,23,295,4,0.64,2,2946,11021,0.41,20,11,1,0.54,3,41,M,urban,smartphone,1.0,7.0,0,1,0,0,3,0.35,Domestic Worker,0
15000,15,154,5,0.77,1,1542,715,0.01,9,14,0,0.6,3,26,M,semi-urban,basic,0.9,3.6,0,0,0,1,0,0.13,Domestic Worker,0
10234,10,480,4,0.61,5,2071,14159,0.2,13,15,0,0.16,5,20,F,urban,basic,0.8,2.9,0,0,7,0,5,0.12,Migrant Worker,0
14586,22,128,4,0.61,3,4081,10488,0.05,12,4,1,0.79,5,53,M,semi-urban,smartphone,0.7,4.4,0,1,0,1,0,0.21,Domestic Worker,0
12504,25,142,4,0.9,1,3885,14892,0.15,8,9,0,0.51,5,33,M,semi-urban,basic,0.9,2.4,0,0,1,0,3,0.38,Domestic Worker,0
24103,100,156,5,0.55,2,3970,29594,0.06,10,14,1,0.51,5,47,M,urban,smartphone,2.4,2.9,1,0,1,0,13,0.11,Street Vendor,1
14972,5,668,3,0.67,1,1896,3712,0.69,6,14,1,0.6,6,40,F,semi-urban,basic,0.7,7.0,1,1,1,1,2,0.22,Rural Farmer,0
1760,1,34,1,0.12,1,500,614,0.0,2,0,0,0.03,4,45,F,semi-urban,basic,0.1,0.0,0,0,0,0,0,0.03,Freelancer,0
19531,13,1131,4,0.46,2,698,21382,0.56,14,9,0,0.47,7,37,F,rural,smartphone,1.6,6.2,1,1,0,1,0,0.36,Rural Farmer,0
14680,17,1677,2,0.44,3,517,39174,0.13,15,13,1,0.64,4,47,F,rural,basic,1.8,2.7,0,1,1,1,2,0.13,Rural Farmer,0
2901,0,12,1,0.01,1,500,213,0.0,2,2,0,0.06,3,54,F,semi-urban,basic,0.2,0.1,0,0,0,0,0,0.02,Migrant Worker,0
5006,1,30,0,0.01,0,0,955,0.0,4,2,0,0.09,6,43,M,rural,smartphone,0.2,0.5,0,0,0,0,0,0.01,Rural Farmer,0
14520,19,533,2,0.6,3,1853,10554,0.44,16,17,0,0.3,4,26,F,semi-urban,smartphone,0.7,1.4,0,0,4,1,8,0.29,Migrant Worker,0
17185,23,605,2,0.35,5,2548,4517,0.44,19,23,0,0.49,7,24,F,semi-urban,smartphone,0.5,2.9,0,0,5,1,1,0.13,Migrant Worker,0
20833,14,1699,4,0.34,1,1063,9339,0.4,11,14,1,0.36,4,43,F,semi-urban,basic,1.8,9.3,1,0,1,1,4,0.24,Rural Farmer,0
355,49,274,3,0.31,5,3725,2051,0.28,64,61,2,0.03,1,20,F,semi-urban,smartphone,7.3,2.8,0,1,0,0,19,0.14,College Student,0
5543,47,209,2,0.56,2,6179,4931,0.1,66,87,3,0.23,1,21,M,semi-urban,smartphone,5.4,1.4,0,0,0,0,28,0.23,College Student,0
9891,18,135,2,0.69,5,5180,6935,0.25,56,58,2,0.05,1,24,F,urban,smartphone,5.4,2.1,0,0,0,0,23,0.24,College Student,0
32770,58,407,3,0.77,3,7544,19229,0.13,57,45,2,0.26,2,27,F,semi-urban,smartphone,7.7,2.4,0,0,1,0,19,0.51,Gig Worker,1
9989,19,109,5,0.66,1,3313,11651,0.22,10,14,0,0.63,5,31,M,urban,basic,0.8,3.5,0,1,0,1,3,0.2,Domestic Worker,0
74491,22,1700,4,0.81,2,7165,86683,0.49,79,50,3,0.65,2,25,F,semi-urban,smartphone,4.8,1.3,1,0,1,0,10,0.45,Freelancer,1
12854,4,1294,2,0.53,2,1350,25409,0.5,7,1,1,0.48,5,41,M,rural,basic,1.7,9.1,1,0,0,1,1,0.23,Rural Farmer,0
8612,26,345,5,0.83,2,3385,4282,0.19,15,12,0,0.8,3,47,F,urban,basic,1.2,5.4,0,0,0,1,4,0.15,Domestic Worker,0
1530,33,151,1,0.65,4,7560,7583,0.04,66,52,3,0.26,1,18,M,semi-urban,smartphone,7.2,1.0,0,0,0,0,37,0.21,College Student,0
3735,41,222,3,0.48,4,3865,3214,0.01,54,53,3,0.1,1,23,F,semi-urban,smartphone,4.0,1.0,0,1,0,0,20,0.14,College Student,0
8523,10,1567,4,0.65,3,1855,25076,0.12,7,7,1,0.56,5,44,M,rural,basic,0.7,2.6,0,1,1,1,3,0.16,Rural Farmer,0
16685,10,204,4,0.94,3,3173,15758,0.4,22,4,1,0.5,3,54,F,urban,basic,1.4,4.2,0,0,0,1,0,0.24,Domestic Worker,0
34,1,10,1,0.13,0,0,60,0.0,0,1,0,0.09,5,31,F,rural,smartphone,0.1,0.4,0,0,0,0,0,0.04,Rural Farmer,0
6500,16,657,4,0.36,3,1095,36034,0.57,12,1,1,0.55,6,32,M,rural,basic,1.8,4.6,0,0,1,1,3,0.45,Rural Farmer,0
26927,39,191,4,0.64,3,7362,23798,0.12,32,40,1,0.35,1,33,M,urban,smartphone,6.7,1.7,1,1,1,0,29,0.11,Gig Worker,0
1012,37,120,1,0.62,4,2130,13088,0.11,73,59,3,0.04,1,23,F,urban,smartphone,4.0,1.3,0,0,0,0,33,0.17,College Student,0
32957,43,446,4,0.61,5,3857,13425,0.64,51,55,2,0.44,1,31,F,urban,smartphone,4.6,4.7,0,0,1,0,14,0.34,Gig Worker,1
10119,109,133,5,0.61,2,3333,27704,0.41,25,16,1,0.36,6,37,M,urban,smartphone,1.6,1.1,0,0,0,0,7,0.21,Street Vendor,0
3781,50,86,3,0.43,2,6304,8646,0.21,92,66,3,0.04,1,18,M,urban,smartphone,9.9,2.8,0,0,0,0,38,0.36,College Student,0
11805,35,434,4,0.72,4,3268,6128,0.55,54,51,1,0.43,1,30,M,urban,smartphone,7.2,2.1,1,0,0,0,39,0.36,Gig Worker,1
17667,17,655,4,0.46,9,3801,10311,0.29,15,14,1,0.22,6,30,M,rural,smartphone,1.3,2.7,0,0,6,0,6,0.08,Migrant Worker,0
2498,54,108,3,0.47,5,2586,9603,0.27,50,48,2,0.3,1,22,M,semi-urban,smartphone,3.1,1.8,0,0,0,1,31,0.1,College Student,0
23525,80,272,4,0.72,4,2375,15828,0.45,33,1,0,0.48,3,54,F,urban,basic,0.6,0.2,1,0,1,0,7,0.38,Street Vendor,1
10128,6,572,4,0.34,2,229,2382,0.5,9,3,1,0.43,4,50,M,semi-urban,basic,1.1,9.7,1,0,0,1,0,0.19,Rural Farmer,0
11648,43,220,4,0.65,3,3984,11940,0.24,37,10,1,0.46,6,46,M,urban,basic,1.9,2.1,1,0,2,0,3,0.29,Street Vendor,0
41973,43,1763,5,0.74,3,13368,72713,0.33,69,36,3,0.54,3,33,F,urban,smartphone,6.2,3.4,3,1,0,0,23,0.31,Freelancer,1
81,35,189,1,0.5,2,4443,138,0.01,60,66,2,0.21,1,18,F,urban,smartphone,8.3,0.3,0,0,0,0,24,0.21,College Student,0
24374,117,68,4,0.42,7,4092,1352,0.62,35,20,0,0.41,5,41,F,semi-urban,basic,2.8,4.8,0,0,1,0,4,0.09,Street Vendor,1
26349,51,163,4,0.43,4,8849,19320,0.15,31,29,1,0.48,3,24,F,semi-urban,smartphone,4.0,1.6,0,0,0,0,22,0.46,Gig Worker,1
29732,97,594,3,0.61,4,6099,2873,0.28,67,29,1,0.31,2,26,M,urban,smartphone,4.0,1.1,1,1,0,0,16,0.53,Gig Worker,0
2510,0,42,0,0.14,0,500,628,0.0,3,2,1,0.0,7,42,F,rural,basic,0.1,0.3,0,0,0,1,0,0.05,Street Vendor,0
22805,102,562,5,0.71,1,9910,38552,0.36,50,19,2,0.84,4,50,F,urban,smartphone,3.5,13.2,1,1,1,0,11,0.46,Kirana Store Owner,1
34677,78,311,4,0.53,2,8671,17712,0.16,51,31,2,0.49,3,21,F,urban,smartphone,4.2,0.3,1,1,1,0,20,0.21,Gig Worker,1
23346,17,1834,2,0.3,2,902,16876,0.2,18,1,0,0.31,5,56,F,rural,basic,0.2,5.7,1,1,0,0,3,0.37,Rural Farmer,0
16599,6,498,5,0.68,2,1722,4113,0.48,21,8,0,0.51,5,40,M,semi-urban,basic,0.3,7.6,0,0,0,1,2,0.31,Domestic Worker,0
23492,8,269,2,0.39,1,1622,5952,0.61,17,1,1,0.42,5,50,M,rural,basic,0.3,3.4,0,0,1,1,1,0.39,Rural Farmer,0
5174,39,121,3,0.53,3,6972,13865,0.12,87,49,2,0.28,1,24,F,urban,smartphone,8.1,0.7,0,0,0,1,23,0.15,College Student,0
23654,62,142,4,0.72,5,3475,2771,0.52,28,22,1,0.27,4,45,M,semi-urban,basic,2.4,0.2,1,0,1,1,1,0.37,Street Vendor,0
13615,22,438,4,0.3,8,1745,12990,0.39,18,24,1,0.28,7,28,F,semi-urban,basic,0.5,1.2,0,0,4,1,0,0.09,Migrant Worker,0
16194,13,784,2,0.35,7,3517,4156,0.1,18,8,1,0.1,7,34,F,semi-urban,smartphone,1.6,1.0,0,0,7,0,1,0.25,Migrant Worker,0
31091,47,1912,5,0.79,3,17344,10939,0.62,86,57,3,0.57,2,35,F,semi-urban,smartphone,3.7,7.9,2,0,1,0,26,0.72,Freelancer,1
11910,46,128,4,0.68,6,3275,4496,0.24,35,26,1,0.49,6,35,M,urban,basic,0.6,4.4,1,1,2,1,14,0.18,Street Vendor,0
11967,6,442,3,0.3,3,2006,8543,0.34,9,6,1,0.36,7,36,F,rural,smartphone,1.5,0.5,0,0,10,0,5,0.03,Migrant Worker,0
7432,6,1371,3,0.5,3,942,15808,0.68,17,4,0,0.53,4,29,M,rural,basic,1.9,1.5,1,0,1,1,3,0.21,Rural Farmer,0
59014,38,1883,5,0.83,3,14419,64377,0.55,52,38,2,0.33,2,27,M,urban,smartphone,4.5,9.4,2,1,1,0,27,0.25,Freelancer,1
16076,4,1542,2,0.56,1,692,16546,0.42,15,12,1,0.41,7,30,M,rural,basic,1.0,9.2,0,1,0,1,2,0.24,Rural Farmer,0
36268,176,351,5,0.71,3,4859,78837,0.7,54,5,2,0.7,4,34,M,semi-urban,smartphone,1.6,9.0,2,1,0,0,9,0.33,Kirana Store Owner,1
2569,33,69,2,0.69,3,3212,9962,0.21,92,62,3,0.24,1,19,M,urban,smartphone,4.9,1.0,0,0,0,0,20,0.13,College Student,0
22929,43,257,3,0.51,6,5871,22952,0.02,13,23,0,0.4,3,22,M,urban,basic,2.1,4.0,1,1,0,0,9,0.32,Street Vendor,0
15702,71,343,4,0.55,2,8689,27822,0.4,51,25,2,0.38,2,23,M,semi-urban,smartphone,7.4,0.4,1,1,0,0,23,0.48,Gig Worker,1
12415,79,262,4,0.43,4,4369,21979,0.15,42,10,1,0.47,5,50,M,urban,smartphone,2.5,3.3,1,0,0,0,12,0.35,Street Vendor,0
44878,45,289,5,0.52,3,16897,56924,0.32,82,42,2,0.48,1,39,F,semi-urban,smartphone,5.1,3.0,2,1,1,0,20,0.21,Freelancer,1
7580,13,826,4,0.53,3,832,21878,0.26,2,9,1,0.66,7,32,F,semi-urban,basic,2.0,9.7,0,1,1,1,1,0.31,Rural Farmer,0
4349,2,2,0,0.11,0,0,521,0.0,4,0,0,0.01,4,33,M,rural,basic,0.0,0.1,0,0,0,0,0,0.04,Domestic Worker,0
12089,20,492,4,0.65,2,2089,2219,0.02,9,12,1,0.89,3,32,M,urban,basic,0.9,5.4,0,0,1,1,0,0.23,Domestic Worker,0
2530,0,29,1,0.03,1,1000,733,0.0,0,2,1,0.07,6,33,F,semi-urban,basic,0.3,0.2,0,0,0,0,0,0.0,Street Vendor,0
2273,0,45,0,0.11,0,0,946,0.0,1,2,1,0.0,7,55,F,rural,basic,0.1,0.4,0,0,0,0,0,0.04,Rural Farmer,0
23442,84,291,5,0.56,2,4436,20581,0.49,49,55,1,0.25,1,27,M,urban,smartphone,3.6,4.0,0,0,1,0,38,0.36,Gig Worker,1
19860,95,200,3,0.56,6,3380,6221,0.61,23,0,0,0.41,5,33,F,urban,basic,1.8,3.5,0,0,1,0,1,0.44,Street Vendor,1
24085,49,234,4,0.77,6,5874,23657,0.68,37,25,0,0.6,3,24,M,urban,basic,2.6,3.5,0,0,0,0,5,0.41,Street Vendor,1
16216,7,192,4,0.61,2,3238,4726,0.39,24,2,0,0.74,5,38,M,semi-urban,basic,1.1,7.9,0,0,1,1,2,0.11,Domestic Worker,0
50825,70,289,5,0.56,1,14124,46626,0.22,54,38,2,0.48,2,25,M,semi-urban,smartphone,2.8,8.0,1,0,1,0,56,0.42,Freelancer,1
10970,24,402,5,0.67,1,4572,1513,0.16,22,13,1,0.57,5,41,F,urban,basic,0.2,0.5,0,1,0,1,2,0.04,Domestic Worker,0
20647,85,77,5,0.7,2,3589,1972,0.61,41,4,1,0.34,5,45,M,semi-urban,smartphone,1.9,3.6,1,1,0,0,5,0.11,Street Vendor,1
6810,15,485,5,0.72,3,1682,10882,0.54,13,3,0,0.51,4,54,M,semi-urban,smartphone,0.5,4.5,0,0,1,0,0,0.01,Domestic Worker,0
22202,81,344,4,0.55,2,8772,19652,0.53,54,37,1,0.4,3,30,F,urban,smartphone,7.4,4.1,0,0,2,0,19,0.19,Gig Worker,1
11939,12,223,4,0.4,6,2595,9303,0.05,26,24,0,0.23,5,29,M,rural,basic,1.3,2.0,0,0,9,0,6,0.04,Migrant Worker,0
8861,17,668,2,0.31,7,2456,10036,0.39,18,23,1,0.46,7,42,M,semi-urban,smartphone,2.4,2.0,0,0,9,1,5,0.04,Migrant Worker,0
29226,122,842,5,0.95,1,10246,64028,0.84,54,12,2,0.63,3,43,F,semi-urban,smartphone,1.8,7.2,2,1,1,0,5,0.53,Kirana Store Owner,1
12825,16,194,5,0.81,1,2845,17904,0.38,14,9,0,0.74,3,39,M,urban,smartphone,0.7,7.1,0,0,0,1,4,0.1,Domestic Worker,0
92,22,71,1,0.54,2,4568,12122,0.1,79,53,3,0.18,1,18,F,semi-urban,smartphone,7.1,1.4,0,0,0,0,23,0.11,College Student,0
10825,15,1699,4,0.54,2,1779,16151,0.49,14,3,1,0.6,6,29,M,rural,basic,1.5,5.6,0,1,0,1,2,0.19,Rural Farmer,0
2558,1,8,0,0.1,1,1000,805,0.0,2,0,0,0.06,3,21,F,rural,basic,0.3,0.2,0,0,0,0,0,0.04,Freelancer,0
17005,3,1127,4,0.46,2,848,6486,0.45,9,2,1,0.46,4,42,F,semi-urban,smartphone,1.5,1.7,1,1,1,1,2,0.27,Rural Farmer,0
42191,149,369,5,0.93,2,3297,14955,0.7,58,10,2,0.77,5,32,F,urban,smartphone,2.5,2.2,2,1,1,0,27,0.53,Kirana Store Owner,1
4789,32,274,3,0.68,5,2078,13454,0.15,57,72,3,0.29,1,24,F,semi-urban,smartphone,6.8,0.1,0,1,0,0,33,0.06,College Student,0
11194,6,224,4,0.6,1,4900,19924,0.38,9,11,0,0.62,4,45,M,semi-urban,basic,0.9,5.1,0,1,1,1,1,0.38,Domestic Worker,0
17552,6,499,3,0.3,2,596,14230,0.24,2,0,1,0.36,4,43,M,rural,basic,1.0,5.6,1,1,0,1,2,0.23,Rural Farmer,0
9870,74,154,3,0.73,2,3350,7610,0.6,47,9,0,0.2,4,24,F,urban,smartphone,1.7,1.5,0,0,0,0,7,0.03,Street Vendor,0
56337,60,1045,5,0.6,3,5933,41875,0.44,47,30,3,0.67,1,22,M,urban,smartphone,5.2,3.2,2,0,1,0,23,0.68,Freelancer,1
10956,100,105,4,0.68,5,4320,12491,0.11,13,26,1,0.53,4,37,M,urban,basic,2.7,4.0,1,0,2,0,6,0.19,Street Vendor,0
7433,35,72,2,0.45,4,4512,3781,0.29,69,42,3,0.12,1,22,F,semi-urban,smartphone,3.9,0.3,0,0,0,0,21,0.38,College Student,0
27443,94,513,5,0.86,3,7905,66620,0.75,46,27,2,0.73,4,39,F,semi-urban,smartphone,1.0,4.0,2,1,0,0,19,0.65,Kirana Store Owner,1
2821,2,5,1,0.11,1,0,248,0.0,3,0,0,0.08,5,52,F,rural,basic,0.1,0.3,0,0,0,1,0,0.02,College Student,0
17871,49,460,5,0.48,2,9458,5270,0.37,52,34,3,0.47,3,21,M,semi-urban,smartphone,7.2,2.2,1,1,1,0,19,0.5,Gig Worker,0
22740,59,183,4,0.67,4,3190,17294,0.52,13,1,2,0.3,6,25,M,urban,smartphone,2.9,2.9,1,0,0,0,8,0.11,Street Vendor,1
65492,79,1310,4,0.61,2,16708,12265,0.27,55,45,3,0.63,1,30,M,urban,smartphone,7.9,4.6,3,0,0,0,19,0.41,Freelancer,1
24300,2,671,3,0.52,1,1721,11895,0.52,10,11,0,0.62,4,37,F,rural,basic,0.7,5.9,0,1,0,1,1,0.49,Rural Farmer,0
27651,48,501,3,0.75,5,3912,15732,0.45,61,35,2,0.27,3,30,M,semi-urban,smartphone,3.2,0.0,0,0,1,0,13,0.31,Gig Worker,1
20393,45,132,3,0.54,3,3300,23366,0.08,39,19,1,0.55,5,34,M,urban,smartphone,2.4,2.8,1,0,0,1,6,0.01,Street Vendor,0
35673,45,797,4,0.54,1,14556,76195,0.4,69,62,3,0.47,3,39,M,urban,smartphone,7.5,4.1,2,1,1,0,27,0.46,Freelancer,1
11238,5,308,4,0.71,2,1940,13876,0.58,7,2,0,0.73,3,45,F,urban,basic,1.2,1.2,0,0,0,1,3,0.39,Domestic Worker,0
4566,2,35,0,0.02,1,500,999,0.0,0,1,0,0.06,5,37,F,rural,basic,0.1,0.0,0,0,0,0,0,0.01,Domestic Worker,0
31365,54,327,5,0.68,5,4654,24461,0.2,56,35,1,0.47,3,25,M,semi-urban,smartphone,7.2,0.5,1,0,0,0,15,0.4,Gig Worker,1
1709,1,9,0,0.11,0,0,205,0.0,1,1,0,0.0,7,22,M,semi-urban,basic,0.2,0.3,0,0,0,0,0,0.05,Kirana Store Owner,0
21502,108,101,4,0.7,7,4886,4094,0.29,11,23,1,0.57,6,28,F,semi-urban,basic,1.0,1.2,1,0,1,0,8,0.34,Street Vendor,1
66641,28,1173,5,0.63,3,11792,31422,0.79,49,38,3,0.34,1,28,M,urban,smartphone,5.0,3.2,2,1,1,0,18,0.38,Freelancer,1
5461,0,22,1,0.02,1,0,435,0.0,2,1,1,0.06,6,20,F,rural,basic,0.2,0.1,0,0,0,0,0,0.0,Rural Farmer,0
11098,107,168,4,0.44,5,3918,17354,0.37,33,22,0,0.29,5,34,M,urban,smartphone,2.1,2.9,0,0,0,0,3,0.05,Street Vendor,0
9635,71,102,4,0.61,6,2914,28275,0.59,16,29,1,0.47,5,29,F,urban,smartphone,1.9,4.4,0,0,1,1,12,0.2,Street Vendor,1
21198,18,1595,3,0.46,1,516,19487,0.41,2,8,1,0.49,6,40,F,rural,basic,1.5,9.1,1,0,1,1,0,0.23,Rural Farmer,0
4330,0,20,0,0.03,1,0,276,0.0,3,0,0,0.06,4,57,F,rural,smartphone,0.0,0.2,0,0,0,1,0,0.03,Domestic Worker,0
27277,124,985,5,0.96,1,10497,68288,0.86,38,11,1,0.66,5,30,M,semi-urban,smartphone,2.8,4.9,2,0,1,0,12,0.38,Kirana Store Owner,1
20803,16,307,4,0.4,1,1101,18064,0.35,7,9,0,0.61,4,49,M,semi-urban,basic,0.7,4.8,0,0,0,1,2,0.16,Rural Farmer,1
15922,63,1940,4,0.64,3,16596,83792,0.69,55,41,3,0.46,2,24,F,urban,smartphone,7.1,6.4,3,0,0,0,50,0.23,Freelancer,1
1339,1,28,1,0.1,1,500,847,0.0,0,2,0,0.07,4,26,M,semi-urban,basic,0.1,0.1,0,0,0,0,0,0.04,Domestic Worker,0
43199,26,1385,5,0.72,3,13499,20618,0.83,72,74,2,0.44,2,38,F,semi-urban,smartphone,6.8,1.9,2,1,0,0,59,0.33,Freelancer,1
1917,54,269,1,0.33,2,3803,750,0.07,76,58,3,0.21,1,24,F,semi-urban,smartphone,6.2,1.6,0,0,0,0,40,0.15,College Student,0
26012,35,450,5,0.45,3,5832,9264,0.23,45,27,2,0.35,3,26,M,urban,smartphone,3.2,3.9,0,0,1,0,38,0.3,Gig Worker,1
9614,35,101,2,0.31,3,3077,3701,0.19,81,68,3,0.12,1,19,M,urban,smartphone,8.1,2.8,0,1,0,1,44,0.08,College Student,0
5623,46,292,3,0.42,2,2387,10062,0.14,75,57,2,0.29,1,24,M,urban,smartphone,8.9,2.5,0,0,0,1,29,0.03,College Student,0
9033,55,180,3,0.48,5,7736,10084,0.13,81,50,2,0.24,1,19,F,urban,smartphone,3.9,1.8,0,1,0,1,42,0.25,College Student,0
7545,6,574,3,0.35,4,1516,5772,0.13,26,16,1,0.22,5,37,M,rural,smartphone,2.0,1.8,0,0,6,0,6,0.25,Migrant Worker,0
17452,68,501,5,0.86,3,4565,13963,0.86,34,20,2,0.77,3,43,M,urban,smartphone,2.4,12.6,1,1,0,0,27,0.46,Kirana Store Owner,1
6570,7,1650,4,0.36,1,855,23300,0.61,5,13,1,0.51,7,32,M,semi-urban,basic,0.6,6.4,0,0,0,1,3,0.32,Rural Farmer,0
60151,55,1569,4,0.61,1,15484,25777,0.66,58,51,2,0.63,2,26,M,urban,smartphone,6.9,6.7,3,1,0,0,54,0.4,Freelancer,1
3724,2,24,1,0.06,0,0,206,0.0,3,1,0,0.09,6,20,F,rural,basic,0.1,0.2,0,0,0,1,0,0.01,College Student,0
36150,112,312,5,0.74,3,5880,54101,0.36,40,9,1,0.61,3,47,M,urban,smartphone,3.3,3.9,1,1,0,1,17,0.3,Kirana Store Owner,1
20943,7,1616,4,0.59,3,0,18828,0.58,8,11,0,0.62,4,51,M,rural,smartphone,1.2,8.5,1,0,0,0,2,0.26,Rural Farmer,1
5801,1,43,0,0.09,1,0,372,0.0,0,1,0,0.07,6,23,M,semi-urban,basic,0.1,0.2,0,0,0,1,0,0.05,Migrant Worker,0
5199,1,45,1,0.06,0,500,675,0.0,0,0,0,0.05,6,47,F,semi-urban,basic,0.1,0.4,0,0,0,0,0,0.05,Domestic Worker,0
14983,8,158,3,0.52,7,1822,5224,0.29,25,19,0,0.18,6,39,M,semi-urban,basic,1.5,2.2,0,0,10,0,4,0.29,Migrant Worker,0
52682,76,1016,4,0.52,3,18653,48026,0.68,71,77,3,0.31,1,32,F,urban,smartphone,5.5,6.3,2,1,1,0,31,0.25,Freelancer,1
2851,2,6,0,0.09,1,0,287,0.0,0,2,0,0.0,5,47,F,semi-urban,basic,0.3,0.2,0,0,0,0,0,0.01,Gig Worker,0
